432715 0.140625
432716 55.273438
432717 165.992188
432718 116.234375
432719 122.488281
432720 405.050781
432721 119.812500
432722 122.421875
432723 486.125000
432724 121.519531
432725 128.015625
432726 123.597656
432727 609.824219
432728 126.843750
432729 125.109375
432730 125.636719
432731 126.089844
432732 714.023438
432733 124.402344
432734 129.203125
432735 124.539062
432736 126.082031
432737 122.390625
432738 835.785156
432739 119.644531
432740 122.742188
432741 122.011719
432742 121.628906
432743 123.398438
432744 122.007812
432745 970.003906
432746 123.230469
432747 121.449219
432748 122.234375
432749 33.828125
432750 0.175781
432776 2.218750
432777 396.164062
